nv
4.428753399404833146e+01
5.256635475309392458e-01
4.696672869688435448e+00
4.428753399404833146e+01
4.428753399404833146e+01
4.696672869688435448e+00
4.428753399404833146e+01
5.256635475309392458e-01
4.428753399404833146e+01
4.428753399404833146e+01
4.428753399404833146e+01
7.109441710921862168e-01
7.109441710921862168e-01
4.428753399404833146e+01
4.696672869688435448e+00
4.428753399404833146e+01
5.256635475309392458e-01
4.428753399404833146e+01
4.696672869688435448e+00
4.696672869688435448e+00
4.428753399404833146e+01
4.696672869688435448e+00
4.696672869688435448e+00
4.696672869688435448e+00
4.696672869688435448e+00
5.256635475309392458e-01
4.428753399404833146e+01
5.256635475309392458e-01
4.696672869688435448e+00
4.696672869688435448e+00
4.428753399404833146e+01
4.428753399404833146e+01
4.428753399404833146e+01
5.256635475309392458e-01
