rwp_mean
5.019659248688525643e+00
1.258389763764513170e+01
8.152128160077049657e+00
8.350496241723542212e+00
7.956562202566252573e+00
2.763723332308777980e+00
6.129326959884796366e+00
1.188579508553231356e+01
3.825740390767525589e+00
1.342393937562900597e+00
5.933519457174801559e+00
1.249144954636713045e+01
1.197686296475632517e+01
3.401518017880143407e+00
1.342071487776311578e+01
5.166702377700239879e+00
3.327609792569534708e-01
2.562109707456419638e+00
6.149945350037125280e+00
8.399875144470566823e+00
5.935476620221928457e+00
6.304973242713377779e+00
1.021245788365189178e+01
8.507116833287637903e+00
5.964221549575741133e-01
1.547535811388291371e+01
6.391082062956005672e+00
1.037242632495636130e+01
9.407804010937319106e+00
7.238093295186771137e+00
4.971689930591161932e+00
2.936731963496419073e+00
1.324603632117395513e+00
1.030564962677669172e+01
