transition_time
8.496569747359663438e+01
3.482823784722222626e+01
6.045594672309027118e+01
6.064691514756944457e+01
3.413517686631944059e+01
6.884622639973957803e+01
6.397517388237847058e+01
4.808903754340278169e+01
5.003053602430555458e+01
7.128745524088540719e+01
3.784550482855902942e+01
1.068962326388888684e+01
4.761638888888889198e+01
4.742215521918402743e+01
5.968440212673610290e+01
4.735311360677083314e+01
5.609596896701388857e+01
7.063538628472221603e+01
3.828659993489583258e+01
6.774268988715276407e+01
5.474979709201389255e+01
2.251271278211805082e+01
5.941199218750000455e+01
4.230597162543402590e+01
9.130991834852430600e+01
8.272667290581597399e+01
8.322553819444443945e+01
8.864280951605903169e+01
