Mean main effect,Mean total effect
-1.420987090307411092e-04,8.369353377438703070e-03
3.583384011444870447e-03,2.016130364691553697e-02
1.113237663491451340e-01,2.308090883861325382e-01
-8.494091537176683940e-05,8.009162472540399397e-03
6.424609313863105520e-01,8.714495176690849609e-01
5.996462689029675996e-02,1.056652062400999237e-01
