Mean main effect,Mean total effect
1.081450936776633676e-01,1.147678888693032945e-01
4.335660875927902502e-01,4.324881286120945134e-01
2.455040713861817228e-03,2.243687251287615828e-02
9.173452178189611672e-02,1.077596353181947686e-01
2.045787789341897978e-01,2.068896821955447662e-01
1.390859727906537668e-01,1.391344687925157031e-01
