bl_qv,bl_z,delta_theta,delta_qv,n_a,baut
9.142707789676997265e+00,1.137750000000000000e+03,6.714473333645344155e+00,-2.009963511452565577e+00,2.648637639445665286e+02,-1.621249014918229925e+00
9.378837897362730658e+00,1.011250000000000000e+03,1.166705838309343335e+01,-4.854120209785453000e+00,3.690564985338511974e+02,-1.459889309197470064e+00
1.162158430898521111e+01,4.489473483423263360e+02,1.376448515351546575e+01,-7.634531057519915898e+00,2.935975583385619530e+02,-1.837242851305300073e+00
1.050689511882451477e+01,6.381588853902871961e+02,6.412739333849856393e+00,-3.018800858893639472e+00,6.768247150418632430e+01,-1.760110122896229923e+00
1.046578457515579075e+01,7.417500000001217586e+02,1.093281796213341295e+01,-4.622250355964377277e+00,4.775810307709759854e+02,-1.739958258617579911e+00
1.401486217896600373e+01,4.862040363003622474e+02,1.254842795105605546e+01,-7.822583791471299897e+00,1.549114834912391530e+02,-1.440287055966049889e+00
1.052691710762743682e+01,9.287500000000000000e+02,1.403571809394605907e+01,-2.135257621104889481e+00,1.846250101777403358e+02,-1.826657978213960032e+00
1.008030527418966571e+01,1.126750000000000000e+03,1.684290278903569060e+01,-2.743911683071283747e+00,4.304379810022962829e+02,-1.716124915390389916e+00
1.083277116946434937e+01,5.837273845199367770e+02,7.222224509259604019e+00,-4.539928200296208693e+00,2.563225881979032579e+02,-1.891496895144660018e+00
1.041597730454916437e+01,8.737500000000000000e+02,5.616384000240941532e+00,-4.719903103957243218e+00,1.728259818342309586e+02,-1.908904388336770008e+00
8.459868951104903445e+00,1.220250000000000000e+03,1.900523634311798560e+01,-5.461093107877866615e+00,3.395500628071263236e+02,-1.428722256969870097e+00
nan,nan,nan,nan,nan,-1.376702540947559950e+00
1.098606243866206000e+01,6.700300351637217773e+02,1.609904675681679009e+01,-4.795101409266337988e+00,2.687353814888068086e+02,-1.422466768685550109e+00
1.032517201465742573e+01,1.110250000000000000e+03,1.281393427102131000e+01,-6.912067017743209973e+00,1.582424527894613675e+02,-1.322885280578290024e+00
8.692498368534963049e+00,1.115750000000000000e+03,1.391507216050888474e+01,-7.103257001948313665e+00,3.352813261447124660e+01,-1.533280762972689892e+00
1.143514514509199209e+01,7.307500000004743015e+02,8.852456709187663364e+00,-4.683936451814351365e+00,7.239669629326193956e+01,-1.517045571643260038e+00
1.032960425736135335e+01,8.462500000000000000e+02,7.358150641956058280e+00,-6.103777182339017671e+00,1.701271776123336394e+02,-1.484068098125919999e+00
9.245416437768449569e+00,1.110250000000000000e+03,8.085731972411167590e+00,-2.487907072557207222e+00,4.362015735323020635e+02,-1.312114998727760051e+00
nan,nan,nan,nan,nan,-1.465842665426670077e+00
1.032854561682579941e+01,7.362500000008748202e+02,4.810738421978157930e+00,-3.362968141522541643e+00,4.202826288746145451e+02,-1.644543330426379901e+00
1.179495737511630260e+01,4.679197970456754092e+02,9.145099667718227465e+00,-2.588511438051108726e+00,3.961701123338301045e+02,-1.390063450909539977e+00
1.039846428915517151e+01,1.198250000000000000e+03,9.402427448311527769e+00,-5.899744764794923491e+00,4.463462691375630698e+02,-1.802159205674400022e+00
nan,nan,nan,nan,nan,-1.651836168995040044e+00
nan,nan,nan,nan,nan,-1.333311931000040085e+00
nan,nan,nan,nan,nan,-1.546271047143980004e+00
1.133371701346407434e+01,4.862040363003622474e+02,1.799863794218629209e+01,-8.549378309941108256e+00,9.078732776656183034e+01,-1.513214894866270033e+00
nan,nan,nan,nan,nan,-1.570284509453260036e+00
nan,nan,nan,nan,nan,-1.300552443916590084e+00
nan,nan,nan,nan,nan,-1.710109424413579937e+00
9.381566710065413872e+00,9.342500000000000000e+02,5.279796668153039718e+00,-2.594054314300914044e+00,1.592527213679758233e+02,-2.020209405083900123e+00
nan,nan,nan,nan,nan,-2.081771705987600196e+00
nan,nan,nan,nan,nan,-1.319879305670260017e+00
nan,nan,nan,nan,nan,-1.503763121886950049e+00
nan,nan,nan,nan,nan,-1.478408641647469990e+00
8.326147164257513111e+00,1.154250000000000000e+03,2.025993406089060045e+01,-4.185194482209648292e+00,3.861337118502377734e+02,-2.050213087227109821e+00
nan,nan,nan,nan,nan,-1.448885119911470065e+00
